"%s","%s"
"%s already exist.","%s existieren bereits."
"%s already exists.","%s existiert bereits."
"-- Please Select --","-- Bitte auswählen --"
"Allowed IPs (comma separated)","Erlaubte IPs (durch Kommata getrennt)"
"Allowed file types: ICO, PNG, GIF, JPEG, APNG, SVG. Not all browsers support all these formats!","Erlaubte Formate: ICO, PNG, GIF, JPEG, APNG, SVG. Nicht alle Browser unterstützen alle diese Formate!"
"Allowed file types: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Not all browsers support all these formats!","Erlaubte Formate: ICO, PNG, GIF, JPG, JPEG, APNG, SVG. Nicht alle Browser unterstützen alle diese Formate!"
"Allows customers to stay logged in when switching between different stores.","Kunden erlauben eingeloggt zu bleiben, wenn sie zu einem anderen Laden wechseln."
"Alternative text for next link in pagination menu. If empty, default arrow image will used.","Alternativtext für den ""Nächste Seite""-Link in der Seitenübersicht. Wenn leer, wird eine Pfeil-Grafik verwendet."
"Alternative text for previous link in pagination menu. If empty, default arrow image will used.","Alternativtext für den ""Vorherige Seite""-Link in der Seitenübersicht. Wenn leer, wird eine Pfeil-Grafik verwendet."
"An error occurred while saving. Please review the error log.","Beim Speichern trat ein Fehler auf. Bitte sehen Sie in der Log-Aufzeichnung nach."
"Anchor Text for Next","Anker-Text für einen<br /> Seitensprung <i>vor</i>"
"Anchor Text for Previous","Anker-Text für einen<br /> Seitensprung <i>zurück</i>"
"Anchor symbol (#) is not supported in request path","Das Anker-Zeichen (#) wird im Anforderungspfad nicht unterstützt"
"Anchor symbol (#) is not supported in url rewrite suffix","Das Anker-Zeichen (#) wird beim URL-Rewrites-Suffix nicht unterstützt"
"Are you sure?","Sind Sie sicher?"
"Auto-redirect to Base URL","Automatische Weiterleitung zur Basis-URL"
"Back","Zurück"
"Backup Options","Sicherungsoptionen"
"Base JavaScript URL","Basis-URL Javascript"
"Base Link URL","Basis-URL Links"
"Base Media URL","Basis-URL Medien"
"Base Secure URL","Gesicherte Basis-URL"
"Base Skin URL","Basis-URL Skins"
"Base URL","Basis-URL"
"Base Unsecure URL","Ungesicherte Basis-URL"
"Before modifying the store view code please make sure that it is not used in index.php.","Bevor Sie den Ladenansicht-Quelltext verändern, stellen Sie unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Before modifying the website code please make sure that it is not used in index.php.","Bevor Sie den Webseiten-Quelltext verändern, stellen Sie unbedingt sicher, dass dieser weder in der index.php, noch in der Apache-Konfiguration verwendet wird!"
"Block with name ""%s"" already exists","Der Block mit dem Namen ""%s"" existiert bereits"
"Blocks HTML output","Ausgabe von HTML-Blöcken"
"Browser Capabilities Detection","Feststellung der Browser-Fähigkeiten"
"CSRF protection","CSRF Schutz"
"CSS Settings","CSS-Einstellungen"
"Cache Storage Management","Zwischenspeicherverwaltung (Caching)"
"Cache storage may contain additional data. Are you sure that you want flush it?","Der Cache-Speicher könnte weitere Daten enthalten. Sind Sie sicher, dass Sie diese löschen möchten?"
"Can not create invoice. Order was not found.","Rechnung konnte nicht erstellt werden, da die Bestellung nicht gefunden wurde."
"Can't retrieve request object","Kann Anfrageobjekt nicht ermitteln"
"Can\'t retrieve entity config: %s","Kann Entity-Konfiguration %s nicht ermitteln"
"Cancel","Abbrechen"
"Cannot complete this operation from non-admin area.","Diese Aktion kann nicht außerhalb des Admin-Bereichs abgeschlossen werden."
"Cannot retrieve entity config: %s","Kann Entity-Konfiguration %s nicht ermitteln"
"Card type does not match credit card number.","Kartentyp entspricht nicht der Kreditkartennummer."
"Code","Kode"
"Collections Data","Collections Data"
"Collection data files","Collection data files"
"Configuration","Konfiguration"
"Controller file was loaded but class does not exist","Controller-Datei wurde geladen, Klasse existiert jedoch nicht"
"Cookie Domain","Cookie Domain"
"Cookie Lifetime","Cookie Lebensdauer"
"Cookie Path","Cookie Pfad"
"Cookie Restriction Mode","Restriktiver Cookie-Modus"
"Copyright","Urheberrecht"
"Core","Kern"
"Countries Options","Länderoptionen"
"Country","Land"
"Create Store","Erstelle Laden"
"Create Store View","Erstelle Ladenansicht"
"Create Website","Erstelle Webseite"
"Credit card number does not match credit card type.","Kreditkartennummer entspricht nicht dem Kreditkartentyp."
"Current Package Name","Aktueller Paketname"
"Custom Admin Path","Benutzerdefinierter Administratorpfad"
"Custom Admin URL","Benutzerdefinierte Admin-URL"
"Custom Design","Benutzerdefinierte Gestaltung"
"Custom Email 1","Benutzerdefinierte eMail 1"
"Custom Email 2","Benutzerdefinierte eMail 2"
"Custom Layout Update","Eigenes Layout Update"
"Custom Variables","Benutzerdefinierte Variablen"
"Custom1 Contact Email","1. eigene Kontakt-eMail-Adresse"
"Custom1 Contact Name","1. eigener Kontakt-Name"
"Custom2 Contact Email","2. eigene Kontakt-eMail-Adresse"
"Custom2 Contact Name","2. eigener Kontakt-Name"
"Customer Support","Kundendienst"
"Dashboard","Übersicht"
"Date From","Datum von"
"Date To","Datum bis"
"Date/time format ""%s"" is not supported.","Datum-/Zeitformat ""%s"" wird nicht unterstützt."
"Debug","Debug"
"Default","Voreinstellung"
"Default Country","Land (voreingestellt)"
"Default Description","Beschreibung (voreingestellt)"
"Default Keywords","Schlagwörter (voreingestellt)"
"Default No-route URL","No-Route URL (voreingestellt)"
"Default Pages","Seiten (voreingestellt)"
"Default Robots","Robots (voreingestellt)"
"Default Store","Laden (voreingestellt)"
"Default Store View","Ladenansicht (voreingestellt)"
"Default Title","Titel (voreingestellt)"
"Default Web URL","Web-URL (voreingestellt)"
"Delete","Löschen"
"Delete Store","Laden löschen"
"Delete Store View","Ladenansicht löschen"
"Delete Website","Webseite löschen"
"Deleting a %1$s will not delete the information associated with the %1$s (e.g. categories, products, etc.), but the %1$s will not be able to be restored. It is suggested that you create a database backup before deleting the %1$s.","Durch das Löschen von %1$s werden die mit %1$s verbundenen Informationen (z.B. Kategorien, Produkte, etc.) nicht gelöscht, %1$s kann jedoch nicht wiederhergestellt werden! Bitte erstellen Sie daher eine Datenbanksicherung, bevor Sie %1$s löschen."
"Design","Gestaltung"
"Design Change","Gestaltungsänderung"
"Developer","Entwickleroptionen"
"Developer Client Restrictions","Entwickler Clientbeschränkung"
"Disable Email Communications","eMail-Funktionen abschalten"
"Disable Modules Output","Modulausgaben verstecken (Achtung: Module werden immer noch ausgeführt!)"
"Display Demo Store Notice","Demo-Shop-Hinweis anzeigen"
"Display Product Options In","Artikeloptionen anzeigen in"
"Duplicate Of Template Name","Duplikat des Vorlagen-Namens"
"Edit Design Change","Gestaltungsänderung bearbeiten"
"Edit Store","Laden bearbeiten"
"Edit Store View","Ladenansicht bearbeiten"
"Edit Website","Webseite bearbeiten"
"Email - Footer","Email – Fußzeile"
"Email - Header","Email – Kopfzeile"
"Email Footer Template","Email Vorlage Fußzeile"
"Email Header Template","Email Vorlage Kopfzeile"
"Empty identifier field name","Leerer Bezeichner-Feldname"
"Empty main table name","Leerer Name der Haupttabelle"
"Enable Charts","Graphische Auswertung aktivieren"
"Enabled","Aktiviert"
"Enabled for Admin","Aktiviert für Backend"
"Enabled for Frontend","Aktiviert für Frontend"
"Environment Update Time","Aktualisierungsintervall"
"Error in file: ""%s"" - %s","Fehler in Datei: ""%s"" - %s"
"European Union Countries","EU-Länder"
"Exceptions Log File Name","Dateiname für Exception-Log"
"Favicon Icon","Favicon Grafik"
"File %s does not exist","Datei %s existiert nicht"
"File %s is not readable","Datei %s kann nicht gelesen werden"
"File not found","Datei nicht gefunden"
"File system","Dateisystem"
"File with an extension ""%value%"" is protected and cannot be uploaded","Dateien mit der Dateiendung ""%value%"" sind geschützt und können nicht hochgeladen werden"
"First Day of Week","Erster Wochentag"
"Flush Cache Storage","Cache-Speicher leeren"
"Flush Magento Cache","Magento-Cache leeren"
"Footer","Fußbereich der Webseite"
"Forgot Password Email Sender","Passwort vergessen eMail-Absender"
"Forgot Password Email Template","Passwort vergessen eMail-Vorlage"
"General","Allgemein"
"General Contact","Allgemeiner Kontakt"
"General Contact Email","Allgemeiner Kontakt eMail-Adresse"
"General Contact Name","Allgemeiner Kontakt Name"
"General Settings","Allgemeine Einstellungen"
"Get info about current Magento installation","Informationen zur aktuellen Magento-Installation abfragen"
"Global","Global"
"HTML Head","HTML-Kopf"
"HTML tags are not allowed","HTML-Tags sind nicht zulässig"
"Header","Kopfbereich der Webseite"
"Host","Server/Host"
"How many links to display at once.","Wie viele Links auf einmal anzuzeigen sind."
"ID Path for Specified Store","ID-Pfad für angegebenen Laden"
"If present, this will be included in all Transactional Emails","Wird, falls vorhanden, in allen Transaktions-eMail eingebunden"
"If the current frame position does not cover utmost pages, will render link to current position plus/minus this value.","Wenn die aktuelle Rahmen&shy;position nicht die Höchstanzahl an Seiten aufnehmen kann, wird der Link zur aktuellen Position plus/minus diesen Wert dargestellt."
"Incorrect credit card expiration date.","Falsches Ablaufdatum der Kreditkarte."
"Input type ""%value%"" not found in the input types list.","Eingabetyp ""%value%"" wurde in der Liste der Eingabetypen nicht gefunden."
"Invalid URL '%value%'.","Ungültige URL '%value%'."
"Invalid base url type","Ungültiger Basis-URL-Typ"
"Invalid block name to set child %s: %s","Ungültiger Blockname zum Kindelement %s zu setzen: %s"
"Invalid block type: %s","Ungültiger Blocktyp: %s"
"Invalid block: %s","Ungültiger Block: %s"
"Invalid connection","Ungültige Verknüpfung"
"Invalid date","Ungültige Daten"
"Invalid layout update handle","Ungültiger Layout Update Identifikator"
"Invalid messages storage ""%s"" for layout messages initialization","Ungültiger Nachrichtenspeicher ""%s"" für die Initialisierung der Nachrichten-Vorlagen"
"Invalid query","Ungültige Anfrage"
"Invalid transactional email code: ","Ungültiger eMail-Transaktionskode:"
"Invalid transactional email code: %s","Ungültiger eMail-Transaktionskode: %s"
"Invalid website\'s configuration path: %s","Ungültiger Webseiten-Konfigurationspfad: %s"
"JavaScript Settings","JavaScript-Einstellungen"
"Layout","Layout"
"Layout building instructions.","Layout building instructions."
"Layouts","Layouts"
"Leave empty for access from any location.","Leer lassen für den Zugriff von jedem beliebigen Zugangspunkt."
"List of stores","Liste der Läden"
"Locale","Sprachumgebung"
"Locale Options","Optionen für Lokalisierungen"
"Log Settings","Log-Einstellungen"
"Logging from Mage::log(). File is located in {{base_dir}}/var/log","Logging von Mage::log(). Datei wird unter {{base_dir}}/var/log abgespeichert."
"Logging from Mage::logException(). File is located in {{base_dir}}/var/log","Logging von Mage::logException(). Datei wird unter {{base_dir}}/var/log abgespeichert."
"Login is Case Sensitive","Die Anmeldung unterscheidet Groß- und Kleinschreibung."
"Logo Image","Logo"
"Logo Image Alt","Logo-Bild Alt-Attribut"
"Logo Image Src","Logo-Bild Src-Attribut"
"Magento info","Magento Info"
"Magento info API","Magento Info API"
"Mail Sending Settings","Mailversand Einstellungen"
"Make sure that base URL ends with '/' (slash), e.g. http://yourdomain/magento/","Achten Sie darauf, dass die Basis-URL mit einem '/' (Slash) endet, z.B. http://ihredomain/magento/"
"Manage Stores","Läden verwalten"
"Match expressions in the same order as displayed in the configuration.","Passende Ausdrücke in der gleichen Reihenfolge wie in der Konfiguration angezeigt."
"Media Storage","Medien Speicherung"
"Merge CSS Files","CSS-Dateien zusammenführen"
"Merge JavaScript Files","JavaScript-Dateien zusammenführen"
"Message recipients data must be set.","Message recipients data must be set."
"Miscellaneous HTML","Sonstiges HTML<br />z.B. für die Einbindung<br />von Statistik-Trackern"
"Miscellaneous Scripts","Sonstige Skripte & Skriptverknüpfungen"
"Model collection resource name is not defined.","Quellenname der Modellerfassung ist nicht definiert."
"Module ""%1$s"" cannot depend on ""%2$s"".","Modul ""%1$s"" kann nicht von Modul ""%2$s"" abhängig sein."
"Module ""%1$s"" requires module ""%2$s"".","Modul ""%1$s"" benötigt das Modul ""%2$s""."
"Name","Name"
"New Design Change","Neue Gestaltungsänderung"
"New Store","Neuer Laden"
"New Store View","Neue Ladenansicht"
"New Website","Neue Webseite"
"No","Nein"
"Offloader header","SSL-Offloader Titelzeile"
"PHP SOAP extension is required.","PHP-SOAP-Erweiterung erforderlich."
"Package","Paket"
"Page blocks HTML.","Seite blockiert HTML."
"Pagination","Seiteneinteilung"
"Pagination Frame","Anzahl auf der Seitenübersicht"
"Pagination Frame Skip","Seitenübersicht Umbruch/Sprung"
"Parent directory does not exist: %s","Übergeordnetes Verzeichnis existiert nicht: %s"
"Path ""%value%"" is not available and cannot be used.","Der Pfad ""%value%"" ist nicht verfügbar und kann nicht verwendet werden."
"Path ""%value%"" is protected and cannot be used.","Der Pfad ""%value%"" ist geschützt und kann nicht verwendet werden."
"Path ""%value%"" may not include parent directory traversal (""../"", ""..\\).""","Der Pfad ""%value%"" darf keinen Verweis auf das übergeordnete Verzeichnis enthalten (""../"", ""..\\)."
"Please define flag code.","Bitte Markierungskode festlegen"
"Please enter 6 or more characters.","Bitte geben Sie 6 oder mehr Zeichen ein."
"Please enter 6 or more characters. Leading or trailing spaces will be ignored.","Bitte geben Sie 6 oder mehr Zeichen ein. Leerzeichen am Anfang oder Ende werden ignoriert."
"Please enter 7 or more characters. Password should contain both numeric and alphabetic characters.","Bitte geben Sie 7 oder mehr Zeichen ein. Ihr Passwort sollte sowohl Ziffern als auch Buchstaben enthalten."
"Please enter a number 0 or greater in this field.","Bitte geben Sie eine Zahl in das Feld ein, die 0 oder größer ist."
"Please enter a number 1 or greater in this field.","Bitte geben Sie eine Zahl in das Feld ein, die 1 oder größer ist."
"Please enter a number greater than 0 in this field.","Bitte geben Sie eine Zahl in das Feld ein, die größer als 0 ist."
"Please enter a number lower than 100.","Bitte geben Sie eine Zahl unter 100 ein."
"Please enter a valid $ amount. For example $100.00.","Bitte geben Sie einen gültigen Betrag ein. Zum Beispiel 100,00 €."
"Please enter a valid URL Key. For example ""example-page"", ""example-page.html"" or ""anotherlevel/example-page"".","Bitte geben Sie einen gültigen URL-Bezeichner an. Zum Beispiel ""beispiel-seite"", ""beispiel-seite.html"" oder ""andereebene/beispiel-seite""."
"Please enter a valid URL. For example http://www.example.com or www.example.com","Bitte geben Sie eine gültige URL ein. Zum Beispiel http://www.beispiel.de oder www.beispiel.de"
"Please enter a valid URL. Protocol is required (http://, https:// or ftp://)","Bitte geben Sie eine gültige URL ein. Mögliche Protokolle (http://, https:// or ftp://)"
"Please enter a valid XML-identifier. For example something_1, block5, id-4.","Bitte geben Sie einen gültigen XML-Identifizierer an. Zum Beispiel irgendetwas_1, block5, id-4."
"Please enter a valid credit card number.","Bitte geben Sie eine gültige Kreditkartennummer ein."
"Please enter a valid credit card verification number.","Bitte tragen Sie eine gültige Kreditkarten-Prüfnummer ein."
"Please enter a valid date between %s and %s","Bitte geben Sie ein gültiges Datum zwischen dem %s und %s ein."
"Please enter a valid date equal to or greater than %s","Bitte geben Sie ein gültiges Datum am oder nach dem %s ein."
"Please enter a valid date less than or equal to %s","Bitte geben Sie ein gültiges Datum am oder vor dem %s ein."
"Please enter a valid date.","Bitte geben Sie ein gültiges Datum ein."
"Please enter a valid day (1-%d).","Bitte geben Sie einen gültigen Tag (1-%d) ein."
"Please enter a valid email address. For example johndoe@domain.com.","Bitte geben Sie eine gültige eMail-Adresse ein. Zum Beispiel mustermann@domain.de."
"Please enter a valid fax number. For example (123) 456-7890 or 123-456-7890.","Bitte tragen Sie eine gültige Faxnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid full date","Bitte geben Sie eine vollständiges, gültiges Datum ein."
"Please enter a valid month (1-12).","Bitte geben Sie einen gültigen Monat (1-12) ein."
"Please enter a valid number in this field.","Bitte geben Sie eine gültige Nummer in dieses Feld ein."
"Please enter a valid phone number. For example (123) 456-7890 or 123-456-7890.","Bitte geben Sie eine gültige Telefonnummer ein. Zum Beispiel (123) 456-7890 oder 123-456-7890."
"Please enter a valid social security number. For example 123-45-6789.","Bitte geben Sie eine gültige Sozialversicherungsnummer ein. Zum Beispiel 123-45-6789."
"Please enter a valid year (1900-%d).","Bitte geben Sie ein gültiges Jahr (1900-%d) an."
"Please enter a valid zip code.","Bitte geben Sie eine gültige Postleitzahl ein."
"Please enter a valid zip code. For example 90602 or 90602-1234.","Bitte geben Sie eine gültige Postleitzahl ein. Zum Beispiel 21335."
"Please enter issue number or start date for switch/solo card type.","Bitte geben Sie eine Vorgangsnummer oder ein Startdatum switch/solo Karten an."
"Please input a valid CSS-length. For example 100px or 77pt or 20em or .5ex or 50%.","Bitte geben Sie eine gültige CSS-Länge an. Beispielsweise 100px, 77pt, 20em, .5ex oder 50%."
"Please make sure your passwords match.","Bitte stellen Sie sicher, dass Ihre Passwörter übereinstimmen."
"Please select State/Province.","Bitte wählen Sie ein Land/Bundesland."
"Please select a file","Bitte wählen Sie eine Datei."
"Please select an option.","Bitte wählen Sie eine Option."
"Please select one of the above options.","Bitte wählen Sie eine der obigen Optionen."
"Please select one of the options.","Bitte wählen Sie eine der Optionen."
"Please set available and/or protected paths list(s) before validation.","Bitte geben Sie eine List der verfügbaren und/oder geschützten Pfade an, bevor Sie die Prüfung durchführen."
"Please specify either a category or a product, or both.","Bitte geben Sie entweder eine Kategorie oder einen Artikel oder beides an."
"Please use letters only (a-z or A-Z) in this field.","Bitte nur Buchstaben (a-z oder A-Z) in diesem Feld verwenden."
"Please use numbers only in this field. Please avoid spaces or other characters such as dots or commas.","Bitte nur Ziffern in diesem Feld verwenden. Vermeiden Sie Leerzeichen oder andere Zeichen (z. B. Punkt oder Komma)."
"Please use only letters (a-z or A-Z) or numbers (0-9) only in this field. No spaces or other characters are allowed.","Bitte nur Buchstaben (a-z oder A-Z) oder Ziffern (0-9) in diesem Feld verwenden. Leerzeichen oder andere Zeichen sind nicht erlaubt."
"Please use only letters (a-z or A-Z) or numbers (0-9) or spaces and # only in this field.","Bitte nur Buchstaben (a-z oder A-Z), Ziffern (0-9), Leerzeichen oder # für dieses Feld verwenden."
"Please use only letters (a-z or A-Z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte nur Buchstaben (a-z oder A-Z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld verwenden, das erste Zeichen muss ein Buchstabe sein."
"Please use only letters (a-z), numbers (0-9) or underscore(_) in this field, first character should be a letter.","Bitte nur Buchstaben (a-z), Ziffern (0-9) oder Unterstriche (_) in diesem Feld verwenden, das erste Zeichen muss ein Buchstabe sein."
"Please use only visible characters and spaces.","Bitte nur sichtbare Zeichen und Leerzeichen verwenden."
"Please use this date format: dd/mm/yyyy. For example 17/03/2006 for the 17th of March, 2006.","Bitte benutzen Sie dieses Datumsformat: tt/mm/jjjj. Zum Beispiel 17/03/2006 für den 17. März 2006."
"Please wait, loading...","Bitte warten, wird geladen…"
"Polls","Umfragen"
"Port (25)","Port (25)"
"Profiler","Profiler"
"Recovery Link Expiration Period (days)","Verbleibende Gültigkeitsdauer des Wiederherstellungslinks (in Tagen)"
"Request Path for Specified Store","Anfragepfad für angegebenen Laden"
"Request path length exceeds allowed %s symbols.","Gewünschte Pfadlänge überschreitet die zugelassenen %s Symbole."
"Requested file may not include parent directory traversal (""../"", ""..\\ notation)""","Die angeforderte Datei darf keinen Verweis auf ein übergeordnetes Verzeichnis enthalten (""../"", ""..\\ notation"")"
"Requested invalid store ""%s""","Ungültiger Laden ""%s"" angefragt"
"Resource is not set.","Ressource ist nicht gesetzt."
"Retrieve info about current Magento installation","Informationen zur aktuellen Magento-Installation abfragen."
"Retrieve store data","Daten des Ladens abrufen"
"Retrieve store list","Liste der Läden abrufen"
"Return-Path Email","Antwortpfad eMail"
"Root Category","Wurzelkategorie"
"Sales Representative","Verkaufsmitarbeiter"
"Sales Representative Contact Email","Verkaufsvertreter Kontakt-eMail"
"Sales Representative Contact Name","Verkaufsvertreter Kontakt-Name"
"Save","Speichern"
"Save Store","Laden speichern"
"Save Store View","Ladenansicht speichern"
"Save Website","Webseite speichern"
"Search Engines Optimization","Suchmaschinen-Optimierung"
"Secure","Gesicherte URL-Pfade"
"Security","Sicherheit"
"Select Date","Datum auswählen"
"Select Media Database","Medien-Datenbank auswählen"
"Sender Email","Absender eMail"
"Sender Name","Absender Name"
"Services","Services"
"Session Cookie Management","Sitzung/Cookie-Verwaltung"
"Session Lifetime (seconds)","Lebenszeit für Sitzungen in Sekunden"
"Session Validation Settings","Einstellungen für die Gültigkeit der Sitzung"
"Set Return-Path","Antwortpfad setzen"
"Set as Default","Als Voreinstellung festlegen"
"Skin (Images / CSS)","Skin (Bilder / CSS)"
"Small Logo Image Src","Kleines Logo-Bild Src-Attribut"
"Sort Order","Sortierfolge"
"Specified date/time ""%1$s"" do not match format ""%2$s"".","Angegebene(s) Datum/Uhrzeit ""%1$s"" entspricht nicht dem Format ""%2$s""."
"Start date cannot be greater than end date.","Startdatum kann nicht hinter Enddatum liegen."
"Startup Page","Startseite"
"Status","Status"
"Storage Configuration for Media","Speicherkonfiguration für Medien"
"Store","Laden"
"Store API","Laden API"
"Store Contact Address","Laden Postalische Adresse"
"Store Contact Information","Laden Kontakt-Information"
"Store Contact Telephone","Laden Kontakt-Telefon"
"Store Email Addresses","Laden eMail-Adressen"
"Store Hours of Operation","Laden Betriebsstunden"
"Store Information","Laden Information"
"Store Name","Laden Name"
"Store View","Ladenansicht"
"Store View Information","Ladenansicht Information"
"Store View Name","Ladenansicht Name"
"Store view doesn't exist","Ladenansicht existiert nicht"
"Store with the same code","Laden mit identischem Identifikationskode"
"System","Systemeinstellungen"
"System Log File Name","Dateiname für System-Log"
"System(config.xml, local.xml) and modules configuration files(config.xml).","System(config.xml, local.xml) und Modul-Konfigurationdateien(config.xml)."
"Template Path Hints","Vorlagen Pfadhinweise"
"Template Settings","Vorlagen Einstellungen"
"Template Variables","Vorlagen Variablen"
"Templates","Vorlagen"
"Text length does not satisfy specified text range.","Textlänge ist nicht korrekt."
"The %s you entered is invalid. Please make sure that it follows ""http://domain.com/"" format.","Die Eingabe %s ist ungültig. Bitte beachten Sie das Eingabeformat ""http://domain.de/""."
"The From Date value should be less than or equal to the To Date value.","Der ""von Datum""-Wert sollte kleiner oder gleich dem ""bis Datum""-Wert sein."
"The store code may contain only letters (a-z), numbers (0-9) or underscore(_), the first character must be a letter","Laden-Kode darf nur aus Buchstaben (a-z), Ziffern (0-9) oder Unterstrich (_) bestehen. Das erste Zeichen muss ein Buchstabe sein."
"The store does not exist","Der Laden existiert nicht."
"The store has been deleted.","Der Laden wurde gelöscht."
"The store has been saved.","Der Laden wurde gespeichert."
"The store view does not exist","Die Ladenansicht ist nicht vorhanden."
"The store view has been deleted.","Die Ladenansicht wurde gelöscht."
"The store view has been saved","Die Ladenansicht wurde gespeichert."
"The store view has been saved.","Die Ladenansicht wurde gespeichert."
"The template Name must not be empty.","Der Vorlagen-Name darf nicht leer sein."
"The value is not within the specified range.","Der Wert liegt nicht im angegebenen Bereich."
"The website does not exist.","Die Webseite ist nicht vorhanden."
"The website has been deleted.","Die Webseite wurde gelöscht."
"The website has been saved.","Die Webseite wurde gespeichert."
"Themes","Themes"
"This category and all its child elements","Diese Kategorie und alle Kindelemente"
"This category and its child categories only","Nur diese Kategorie und ihre Unterkategorien"
"This category and its products only","Nur diese Kategorie und ihre Artikel"
"This category only","Nur diese Kategorie"
"This date is a required value.","Das Datum ist eine benötigte Angabe."
"This is a required field.","Dies ist ein Pflichtfeld."
"This store cannot be deleted.","Dieser Laden kann nicht gelöscht werden. Versuchen Sie es später noch einmal."
"This store view cannot be deleted.","Diese Ladenansicht kann nicht gelöscht werden. Versuchen Sie es später noch einmal."
"This website cannot be deleted.","Diese Webseite kann nicht gelöscht werden."
"This will be displayed just before body closing tag.","Dies wird vor dem schließenden Body-Tag ausgegeben."
"This will be included before head closing tag in page HTML.","Dies wird vor dem schließenden Head-Tag in die HTML-Seite eingefügt."
"Timezone","Zeitzone"
"Title Prefix","Titel Präfix (Vorsilbe)"
"Title Suffix","Titel Suffix (Endsilbe)"
"Transactional Emails","Transaktions-eMails"
"Translate Inline","Inline übersetzen"
"Translate, blocks and other output caches should be disabled for both frontend and admin inline translations.","Bei Nutzung sollten Block- und Übersetzungscaches deaktiviert sein!"
"Translation files.","Übersetzungsdateien."
"Translations","Übersetzungen"
"Two and more slashes together are not permitted in request path","Zwei oder mehr zusammenhängende Schrägstriche sind im Anfragepfad nicht erlaubt."
"Two and more slashes together are not permitted in url rewrite suffix","Zwei oder mehr zusammenhängende Schrägstriche sind im URL-Rewrite-Suffix nicht erlaubt."
"Unable to create directory: %s","Verzeichnis kann nicht angelegt werden: %s"
"Unable to delete store view. Please, try again later.","Die Ladenansicht kann nicht gelöscht werden. Versuchen Sie es später noch einmal."
"Unable to delete store. Please, try again later.","Der Laden kann nicht gelöscht werden. Versuchen Sie es später noch einmal."
"Unable to delete website. Please, try again later.","Die Webseite konnte nicht gelöscht werden. Versuchen Sie es später noch einmal."
"Unable to proceed. Please, try again","Nicht möglich fortzusetzen. Bitte noch einmal versuchen."
"Unable to proceed. Please, try again.","Nicht möglich fortzusetzen. Bitte noch einmal versuchen."
"Unable to save file ""%s"" at ""%s""","Datei ""%s"" kann nicht unter ""%s"" gespeichert werden."
"Unable to save file: %s","Datei %s kann nicht gespeichert werden."
"Unknown old style column type definition: {$definition}.","Unbekannte Definition des Spaltentyps im alten Stil: {definition}."
"Unknown scope ""%s"".","Unbekannter Gültigkeitsbereich ""%s""."
"Unsecure","Ungesicherte URL-Pfade"
"Url Options","URL-Optionen"
"Use Custom Admin Path","Verwende benutzerdefinierten Admin-Pfad"
"Use Custom Admin URL","Verwende benutzerdefinierte Admin-URL"
"Use HTTP Only","Verwende nur HTTP"
