"Invalid joint fields","Ungültige gemeinsame Felder"
"Invalid store specified","Ungültiger Laden angegeben"
"Invalid type given. String expected","Ungültiger Datentyp. Zeichenfolge wird erwartet."
"Joined field with this alias is already declared","Mit diesem Alias verbundenes Feld ist bereits deklariert"
"Joint field or attribute expression with this alias is already declared","Zusammengeführtes Feld oder zusätzlicher Ausdruck mit diesem Alias ist bereits deklariert"
"Letters","Buchstaben"
"Letters (a-z, A-Z) or Numbers (0-9)","Buchstaben (a-z, A-Z) oder Ziffern (0-9)"
"Loaded %d records","%d Datensätze geladen"
"Maximum length of attribute code must be less then %s symbols","Die maximale Länge dieses Merkmal-Kodes sollte %s Zeichen nicht überschreiten."
"Multiple Select","Mehrfachauswahl"
"No","Nein"
"No options found in config node %s","Keine Optionen in Konfigurationsknoten %s gefunden"
"None","Keine"
"Not shared with other products","Nicht mit anderen Artikeln gemeinsam nutzen"
"Problem loading the collection, aborting. Error: %s","Problem beim Laden der Zusammenstellung, Abbruch. Fehler: %s"
"Problem saving the collection, aborting. Error: %s","Problem beim Speichern der Zusammenstellung, Abbruch. Fehler: %s"
"Required","Erforderlich"
"Saved %d record(s).","%d Datensätze gespeichert."
"Source model ""%s"" not found for attribute ""%s""","Quellen-Modell ""%s"" wurde nicht gefunden für das Merkmal ""%s"""
"System","System"
"Text Area","Textbereich"
"Text Field","Textfeld"
"The attribute code \'%s\' is reserved by system. Please try another attribute code","Der Merkmal-Kode \'%s\' ist für das System reserviert. Bitte benutzten Sie einen anderen Merkmal-Kode."
"The value of attribute ""%s"" must be unique","Der Wert des Merkmals ""%s"" muss einmalig sein."
"The value of attribute ""%s"" must be unique.","Der Wert des Merkmals ""%s"" muss einmalig sein."
"This attribute is used in configurable products","Dieses Merkmal wird in konfigurierbaren Artikeln verwendet"
"URL","URL"
"Unique Value","Einmaliger Wert"
"Unique Value (not shared with other products)","Einmaliger Wert (nicht mit anderen Artikeln geteilt)"
"Unknown parameter","Unbekannter Parameter"
"Values Required","Pflichtangabe"
"Wrong attribute group ID","Falsche Merkmalgruppen-ID"
"Wrong attribute set ID","Falsche Merkmalgruppen-ID"
"Wrong entity ID","Falsche Datensatz-ID"
"Wrong type definition for %s","Falsche Typdefinition für %s"
"Yes","Ja"
"Yes/No","Ja/Nein"
